pacbio_2014-03-11__136_137_138_275,pacbio_2014-03-11__136_13.1
pacbio_2014-03-18_139=S1_140=N1_276,pacbio_2014-03-18_139=S1_.1
pacbio_2014-03-20_4x139S1_4x140N1_RAT_277,pacbio_2014-03-20_4x139S1.1
pacbio_2014-03-24_M1_bc1_bc2_2cells_314,pacbio_2014-03-24_M1_bc1_.1
pacbio_2014-03-30_sperling2_318,pacbio_2014-03-30_sperlin.1
pacbio_2014-05-05_RACEtest_278,pacbio_2014-05-05_RACEtes.1
pacbio_2014-05-06_race_C_D_repeat_280,pacbio_2014-05-06_race_C_.1
pacbio_2014-06-11_Marburg_RACE_sunny_283,pacbio_2014-06-11_Marburg.1
pacbio_2014-06-13_148and149=marburg_284,pacbio_2014-06-13_148and1.1
pacbio_2014-06-16_145=BAC6_10kb_285,pacbio_2014-06-16_145=BAC.1
pacbio_2014-06-18_4xsmart_287,pacbio_2014-06-18_4xsmart.1
pacbio_2014-08-14_2xJingyi=164_165_292,pacbio_2014-08-14_2xJingy.1
pacbio_2014-09-09_ratqpcrmix_166_294,pacbio_2014-09-09_ratqpcr.1
pacbio_2014-09-18_171_172_173_295,pacbio_2014-09-18_171_172.1
pacbio_2014-10-07_177_178_297,pacbio_2014-10-07_177_178.1
pacbio_2014-10-22_sunny178_300,pacbio_2014-10-22_sunny17.1
pacbio_2014-10-2x_183_JingyiNEWbarcodedP1267_301,pacbio_2014-10-2x_183_Jin.1
pacbio_2014-11-05_SunnyRACE_left_right_302,pacbio_2014-11-05_SunnyRA.1
pacbio_2014-11-14_7cells_sunny_emre_diverse_303,pacbio_2014-11-14_7cells_.1
pacbio_2014-12-11_aarhus195_196_197_each2x_304,pacbio_2014-12-11_aarhus1.1
pacbio_2014_01_07_7x128_132_254,pacbio_2014_01_07_7x128_1.1
pacbio_2014_01_10_7x132_257,pacbio_2014_01_10_7x132_2.1
pacbio_2014_01_12_8x126_258,pacbio_2014_01_12_8x126_2.1
pacbio_2014_01_14_8x130_N1_N_larger3kb_263,pacbio_2014_01_14_8x130_N.1
pacbio_2014_01_15_8x127_8x131_264,pacbio_2014_01_15_8x127_8.1
pacbio_2015-01-05_218_219_2.5xand3.5x_306,pacbio_2015-01-05_218_219.1
pacbio_2015-01-16_AarhusII_307,pacbio_2015-01-16_AarhusI.1
pacbio_2015-01-19_ArhusII_barcodedFrog_308,pacbio_2015-01-19_ArhusII.1
pacbio_2015-01-19_Emre_AarhusII_repeats_309,pacbio_2015-01-19_Emre_Aa.1
pacbio_2015-02-04_139P6_140P6_311,pacbio_2015-02-04_139P6_1.1
pacbio_2015-02-24_228PCDHctrls_229BRP_312,pacbio_2015-02-24_228PCDH.1
pacbio_2015-03-26_M1_bc1_bc2_2cellsREPEAT_316,pacbio_2015-03-26_M1_bc1_.1
pacbio_2015-03-27_M1_bc1_bc2_2cells__317,pacbio_2015-03-27_M1_bc1_.1
pacbio_2015-03-xx_230_ECRCsperling1_313,pacbio_2015-03-xx_230_ECR.1
pacbio_2015-06-19_239SunnyBRPminus_321,pacbio_2015-06-19_239Sunn.1
pacbio_2015-06-30_240-243_322,pacbio_2015-06-30_240-243.1
pacbio_2015-06-xx_4cellsIZW_234_235_236_237_320,pacbio_2015-06-xx_4cellsI.1
pacbio_2015-07-20_244_Nextera_Sunny_FL_mix_323,pacbio_2015-07-20_244_Nex.1
pacbio_2015-09-18_247_Nextera_FL1_4xRTtemp_329,pacbio_2015-09-18_247_Nex.1
pacbio_2015-09-24_248_249_250_251_330,pacbio_2015-09-24_248_249.1
pacbio_2015-09-29_252kun_248Asunny_MAGBEAD_332,pacbio_2015-09-29_252kun_.1
pacbio_2015-10-27_4xsunny_1xdkfz_337,pacbio_2015-10-27_4xsunny.1
pacbio_2015-10-28_2xDKFZ_1xKun_338,pacbio_2015-10-28_2xDKFZ_.1
pacbio_2015-12-03_8xlargeDKFZ_339,pacbio_2015-12-03_8xlarge.1
pacbio_2015-12-10_8xsmallDKFZ_340,pacbio_2015-12-10_8xsmall.1
pacbio_2015_06_xx_ECRC03_no238_319,pacbio_2015_06_xx_ECRC03_.1
pacbio_2016-01-06_Kun298_JuliaDRFZ276_Jingyi277_341,pacbio_2016-01-06_Kun298_.1
pacbio_2016-01-07_277diff_298diff_342,pacbio_2016-01-07_277diff.1
pacbio_2016-02-04_5xDavid_3xdkfz_345,pacbio_2016-02-04_5xDavid.1
pacbio_2016-02-19_DIFF_3xIZW_1xMSX_4xdrfz_346,pacbio_2016-02-19_DIFF_3x.1
pacbio_2016-02-22_4xizw_4xdkfz_347,pacbio_2016-02-22_4xizw_4.1
